GelC01G00002	K12818
GelC01G00363	K11253
GelC01G00366	K14432
GelC01G00369	K20725
GelC01G00379	K03386
GelC01G00381	K14664
GelC01G00383	K08515
GelC01G00386	K08511
GelC01G00392	K01597
GelC01G00396	K02865
GelC01G00399	K00030
GelC01G00401	K00588
GelC01G00405	K00786
GelC01G00406	K00786
GelC01G00408	K00786
GelC01G00412	K02865
GelC01G00413	K13356
GelC01G00415	K01285
GelC01G00417	K14490
GelC01G00419	K02935
GelC01G00422	K08711
GelC01G00423	K01623
GelC01G00427	K01285
GelC01G00435	K15688
GelC01G00438	K01726
GelC01G00440	K01358
GelC01G00444	K15198
GelC01G00446	K02976
GelC01G00450	K15285
GelC01G00457	K07198
GelC01G00460	K00430
GelC01G00461	K00430
GelC01G00462	K00430
GelC01G00465	K00858
GelC01G00466	K09284
GelC01G00467	K02957
GelC01G00469	K15423
GelC01G00478	K13510
GelC01G00485	K03875
GelC01G00490	K18156
GelC01G00491	K17890
GelC01G00493	K16280
GelC01G00494	K00573
GelC01G00500	K23312
GelC01G00503	K12272
GelC01G00504	K01376
GelC01G00505	K01376
GelC01G00511	K23541
GelC01G00513	K01179
GelC01G00518	K02885
GelC01G00521	K12188
GelC01G00522	K12188
GelC01G00525	K02132
GelC01G00529	K24935
GelC01G00536	K10775
GelC01G00550	K15692
GelC01G00560	K03695
GelC01G00561	K05658
GelC01G00564	K05658
GelC01G00566	K06207
GelC01G00567	K07904
GelC01G00572	K15196
GelC01G00573	K23166
GelC01G00574	K23166
GelC01G00575	K24140
GelC01G00577	K18660
GelC01G00578	K18660
GelC01G00579	K00852
GelC01G00580	K17616
GelC01G00583	K05356
GelC01G00584	K03189
GelC01G00589	K17506
GelC01G00593	K12581
GelC01G00600	K13150
GelC01G00608	K23040
GelC01G00611	K03259
GelC01G00622	K03544
GelC01G00623	K04506
GelC01G00625	K13508
GelC01G00626	K22683
GelC01G00629	K13998
GelC01G00633	K01817
GelC01G00635	K17925
GelC01G00636	K23553
GelC01G00640	K24983
GelC01G00647	K10866
GelC01G00648	K00760
GelC01G00649	K21594
GelC01G00663	K16292
GelC01G00668	K01368
GelC01G00672	K00224
GelC01G00673	K03686
GelC01G00676	K00600
GelC01G00679	K08596
GelC01G00680	K01759
GelC01G00681	K12400
GelC01G00682	K02995
GelC01G00684	K13156
GelC01G00686	K11253
GelC01G00688	K07874
GelC01G00689	K13248
GelC01G00690	K13248
GelC01G00699	K01937
GelC01G00701	K07765
GelC01G00705	K17662
GelC01G00711	K15744
GelC01G00717	K05894
GelC01G00719	K05894
GelC01G00722	K05754
GelC01G00725	K13648
GelC01G00737	K20298
GelC01G00740	K04683
GelC01G00741	K24193
GelC01G00750	K22522
GelC01G00753	K06269
GelC01G00754	K20723
GelC01G00757	K11650
GelC01G00765	K17086
GelC01G00766	K16075
GelC01G00768	K01047
GelC01G00771	K09422
GelC01G00773	K20606
GelC01G00774	K08819
GelC01G00775	K22588
GelC01G00779	K11091
GelC01G00782	K18368
GelC01G00785	K09519
GelC01G00787	K10523
GelC01G00788	K00030
GelC01G00792	K01510
GelC01G00793	K01510
GelC01G00796	K24917
GelC01G00797	K24917
GelC01G00798	K14638
GelC01G00802	K14638
GelC01G00803	K13993
GelC01G00804	K03142
GelC01G00806	K02957
GelC01G00808	K05894
GelC01G00811	K22145
GelC01G00814	K13095
GelC01G00817	K08678
GelC01G00820	K03283
GelC01G00821	K16732
GelC01G00824	K13424
GelC01G00829	K10863
GelC01G00831	K01227
GelC01G00836	K06692
GelC01G00838	K04392
GelC01G00842	K12813
GelC01G00850	K02883
GelC01G00855	K17506
GelC01G00857	K13098
GelC01G00858	K08059
GelC01G00865	K15382
GelC01G00873	K02903
GelC01G00877	K02903
GelC01G00880	K22991
GelC01G00881	K00799
GelC01G00883	K01194
GelC01G00885	K01188
GelC01G00886	K08592
GelC01G00890	K12623
GelC01G00891	K01047
GelC01G00893	K10844
GelC01G00898	K10994
GelC01G00901	K07565
GelC01G00904	K14293
GelC01G00908	K24194
GelC01G00909	K03036
GelC01G00921	K07195
GelC01G00923	K00609
GelC01G00929	K20899
GelC01G00930	K22139
GelC01G00942	K23538
GelC01G00943	K09645
GelC01G00945	K09645
GelC01G00951	K02968
GelC01G00959	K12386
GelC01G00968	K01728
GelC01G00969	K15176
GelC01G00975	K18592
GelC01G00982	K01076
GelC01G00991	K01609
GelC01G00996	K01814
GelC01G01003	K01674
GelC01G01010	K24999
GelC01G01011	K22683
GelC01G01013	K08835
GelC01G01014	K00660
GelC01G01016	K25378
GelC01G01022	K25871
GelC01G01026	K13448
GelC01G01031	K09287
GelC01G01034	K11866
GelC01G01040	K10732
GelC01G01049	K00660
GelC01G01058	K07943
GelC01G01060	K10684
GelC01G01072	K19730
GelC01G01076	K20296
GelC01G01079	K11137
GelC01G01080	K10732
GelC01G01081	K00036
GelC01G01083	K17435
GelC01G01089	K02321
GelC01G01090	K00059
GelC01G01098	K10744
GelC01G01105	K11643
GelC01G01107	K00737
GelC01G01112	K01517
GelC01G01115	K17108
GelC01G01116	K01358
GelC01G01117	K14297
GelC01G01119	K07151
GelC01G01122	K00276
GelC01G01131	K02888
GelC01G01141	K11374
GelC01G01143	K03008
GelC01G01145	K18655
GelC01G01147	K01823
GelC01G01156	K15443
GelC01G01159	K18422
GelC01G01162	K09591
GelC01G01163	K11593
GelC01G01168	K18187
GelC01G01177	K24189
GelC01G01184	K02603
GelC01G01187	K08511
GelC01G01197	K01056
GelC01G01198	K19035
GelC01G01202	K03857
GelC01G01206	K04565
GelC01G01223	K14006
GelC01G01225	K13754
GelC01G01233	K18467
GelC01G01235	K07056
GelC01G01238	K02937
GelC01G01239	K14484
GelC01G01242	K02935
GelC01G01245	K08337
GelC01G01249	K12881
GelC01G01250	K01179
GelC01G01253	K09422
GelC01G01257	K14431
GelC01G01259	K01739
GelC01G01260	K01074
GelC01G01261	K01074
GelC01G01262	K07904
GelC01G01265	K21888
GelC01G01267	K00413
GelC01G01268	K01512
GelC01G01269	K19032
GelC01G01278	K24736
GelC01G01282	K09264
GelC01G01283	K13206
GelC01G01287	K15305
GelC01G01299	K24763
GelC01G01301	K02112
GelC01G01312	K15276
GelC01G01313	K13566
GelC01G01340	K02958
GelC01G01341	K11275
GelC01G01342	K01872
GelC01G01345	K10838
GelC01G01347	K00660
GelC01G01348	K13146
GelC01G01350	K10406
GelC01G01356	K11699
GelC01G01363	K01915
GelC01G01364	K16055
GelC01G01370	K14496
GelC01G01376	K01595
GelC01G01402	K02941
GelC01G01407	K03377
GelC01G01411	K10808
GelC01G01413	K10808
GelC01G01414	K10808
GelC01G01417	K02909
GelC01G01421	K01792
GelC01G01424	K05909
GelC01G01425	K00600
GelC01G01429	K01247
GelC01G01431	K03936
GelC01G01432	K03444
GelC01G01437	K09422
GelC01G01442	K00660
GelC01G01443	K00660
GelC01G01452	K13960
GelC01G01453	K00660
GelC01G01454	K00660
GelC01G01455	K00660
GelC01G01460	K14774
GelC01G01462	K10878
GelC01G01463	K04561
GelC01G01465	K10839
GelC01G01466	K06670
GelC01G01471	K02943
GelC01G01472	K15032
GelC01G01482	K03013
GelC01G01484	K08744
GelC01G01489	K07541
GelC01G01491	K00472
GelC01G01498	K07904
GelC01G01500	K01893
GelC01G01501	K14768
GelC01G01502	K00721
GelC01G01503	K06911
GelC01G01504	K06911
GelC01G01508	K03037
GelC01G01511	K08246
GelC01G01517	K01895
GelC01G01529	K15718
GelC01G01530	K15718
GelC01G01531	K15718
GelC01G01533	K01922
GelC01G01535	K05016
GelC01G01539	K12275
GelC01G01540	K13412
GelC01G01541	K22522
GelC01G01543	K08064
GelC01G01550	K23334
GelC01G01551	K17769
GelC01G01552	K03327
GelC01G01556	K09422
GelC01G01557	K01939
GelC01G01558	K19045
GelC01G01559	K17790
GelC01G01561	K11593
GelC01G01562	K11593
GelC01G01566	K14411
GelC01G01576	K00640
GelC01G01581	K05119
GelC01G01588	K12883
GelC01G01590	K11593
GelC01G01592	K00278
GelC01G01594	K09338
GelC01G01595	K02132
GelC01G01596	K20241
GelC01G01597	K01262
GelC01G01598	K14503
GelC01G01599	K13789
GelC01G01603	K09422
GelC01G01604	K02180
GelC01G01605	K08271
GelC01G01619	K09495
GelC01G01622	K24406
GelC01G01624	K07297
GelC01G01626	K18810
GelC01G01645	K00485
GelC01G01646	K22419
GelC01G01647	K04508
GelC01G01652	K04508
GelC01G01659	K13250
GelC01G01663	K05391
GelC01G01666	K02896
GelC01G01668	K02293
GelC01G01669	K02293
GelC01G01677	K24869
GelC01G01678	K03695
GelC01G01679	K07964
GelC01G01681	K08678
GelC01G01684	K14709
GelC01G01686	K07025
GelC01G01694	K20619
GelC01G01697	K23050
GelC01G01698	K02874
GelC01G01704	K10684
GelC01G01705	K07943
GelC01G01706	K07943
GelC01G01711	K17732
GelC01G01712	K12741
GelC01G01717	K08232
GelC01G01719	K02377
GelC01G01720	K09587
GelC01G01729	K23260
GelC01G01736	K15356
GelC01G01738	K20222
GelC01G01740	K09285
GelC01G01747	K01762
GelC01G01748	K14782
GelC01G01749	K15450
GelC01G01750	K21989
GelC01G01753	K09422
GelC01G01754	K00826
GelC01G01757	K09338
GelC01G01762	K08235
GelC01G01767	K03124
GelC01G01768	K13523
GelC01G01770	K03978
GelC01G01771	K07297
GelC01G01775	K09571
GelC01G01776	K14544
GelC01G01782	K06874
GelC02G00002	K12818
GelC02G00004	K03522
GelC02G00005	K22596
GelC02G00007	K02896
GelC02G00014	K00786
GelC02G00031	K02326
GelC02G00037	K10743
GelC02G00038	K02927
GelC02G00051	K00873
GelC02G00054	K11664
GelC02G00055	K12581
GelC02G00061	K20725
GelC02G00063	K17572
GelC02G00064	K08857
GelC02G00068	K09131
GelC02G00071	K10355
GelC02G00072	K01507
GelC02G00075	K19600
GelC02G00077	K03681
GelC02G00079	K02925
GelC02G00084	K02320
GelC02G00090	K24962
GelC02G00093	K15707
GelC02G00098	K11267
GelC02G00099	K11293
GelC02G00100	K15200
GelC02G00106	K25783
GelC02G00109	K15688
GelC02G00110	K21989
GelC02G00111	K23544
GelC02G00112	K02527
GelC02G00116	K08711
GelC02G00118	K01411
GelC02G00132	K00430
GelC02G00134	K00827
GelC02G00139	K03858
GelC02G00142	K13424
GelC02G00150	K17973
GelC02G00155	K10875
GelC02G00158	K00645
GelC02G00160	K15113
GelC02G00167	K03178
GelC02G00173	K14709
GelC02G00175	K01568
GelC02G00176	K01568
GelC02G00177	K01568
GelC02G00178	K13448
GelC02G00179	K17506
GelC02G00185	K15731
GelC02G00190	K16297
GelC02G00193	K12867
GelC02G00212	K03231
GelC02G00224	K25216
GelC02G00228	K10398
GelC02G00231	K11206
GelC02G00232	K02470
GelC02G00239	K13083
GelC02G00242	K02183
GelC02G00243	K13083
GelC02G00250	K20474
GelC02G00255	K03107
GelC02G00260	K00029
GelC02G00262	K19986
GelC02G00264	K23735
GelC02G00267	K11593
GelC02G00268	K15032
GelC02G00270	K03327
GelC02G00272	K03327
GelC02G00275	K07937
GelC02G00276	K15095
GelC02G00277	K14514
GelC02G00280	K10768
GelC02G00297	K14802
GelC02G00303	K03549
GelC02G00306	K09422
GelC02G00308	K15170
GelC02G00318	K21852
GelC02G00321	K13648
GelC02G00322	K01051
GelC02G00324	K07953
GelC02G00331	K03945
GelC02G00339	K00487
GelC02G00345	K16732
GelC02G00350	K16547
GelC02G00351	K09955
GelC02G00352	K13216
GelC02G00353	K11274
GelC02G00354	K01051
GelC02G00355	K11274
GelC02G00356	K12194
GelC02G00357	K14574
GelC02G00364	K03626
GelC02G00365	K14564
GelC02G00366	K19984
GelC02G00369	K11665
GelC02G00370	K05289
GelC02G00372	K00844
GelC02G00374	K13448
GelC02G00377	K08991
GelC02G00378	K14851
GelC02G00379	K08101
GelC02G00380	K13448
GelC02G00383	K19033
GelC02G00384	K11367
GelC02G00385	K03028
GelC02G00387	K15542
GelC02G00388	K13421
GelC02G00389	K19784
GelC02G00390	K20782
GelC02G00397	K10406
GelC02G00402	K03949
GelC02G00411	K18636
GelC02G00417	K01640
GelC02G00421	K13141
GelC02G00423	K05681
GelC02G00435	K13173
GelC02G00438	K00889
GelC02G00440	K20855
GelC02G00441	K17470
GelC02G00443	K00232
GelC02G00444	K09286
GelC02G00445	K22684
GelC02G00454	K06630
GelC02G00457	K02991
GelC02G00460	K14396
GelC02G00461	K01626
GelC02G00464	K07893
GelC02G00465	K02892
GelC02G00469	K09422
GelC02G00477	K01087
GelC02G00483	K03246
GelC02G00486	K17098
GelC02G00495	K11982
GelC02G00499	K22913
GelC02G00500	K11975
GelC02G00501	K01938
GelC02G00502	K09338
GelC02G00503	K05396
GelC02G00504	K08486
GelC02G00510	K20794
GelC02G00513	K24926
GelC02G00514	K22745
GelC02G00522	K08472
GelC02G00527	K14498
GelC02G00535	K17637
GelC02G00538	K06975
GelC02G00539	K00763
GelC02G00543	K01658
GelC02G00544	K11851
GelC02G00546	K00430
GelC02G00552	K13091
GelC02G00554	K14948
GelC02G00555	K10730
GelC02G00557	K10730
GelC02G00567	K14432
GelC02G00572	K08516
GelC02G00574	K08331
GelC02G00575	K22736
GelC02G00583	K20241
GelC02G00584	K24406
GelC02G00587	K17925
GelC02G00594	K09422
GelC02G00598	K09580
GelC02G00599	K06276
GelC02G00604	K14412
GelC02G00605	K18995
GelC02G00612	K02902
GelC02G00616	K04421
GelC02G00622	K06170
GelC02G00623	K15422
GelC02G00629	K07198
GelC02G00633	K11805
GelC02G00635	K00858
GelC02G00643	K19801
GelC02G00645	K20890
GelC02G00646	K18857
GelC02G00650	K10134
GelC02G00657	K00921
GelC02G00661	K00600
GelC02G00665	K11649
GelC02G00666	K08738
GelC02G00667	K13617
GelC02G00668	K08738
GelC02G00672	K13210
GelC02G00673	K17506
GelC02G00681	K03978
GelC02G00682	K13448
GelC02G00684	K15429
GelC02G00686	K02973
GelC02G00690	K17866
GelC02G00700	K02923
GelC02G00711	K20890
GelC02G00715	K02981
GelC02G00717	K02981
GelC02G00721	K10750
GelC02G00724	K01184
GelC02G00725	K14808
GelC02G00729	K17800
GelC02G00731	K01184
GelC02G00733	K20177
GelC02G00734	K02736
GelC02G00737	K06442
GelC02G00738	K03575
GelC02G00739	K01627
GelC02G00741	K01627
GelC02G00742	K03575
GelC02G00749	K09561
GelC02G00750	K01800
GelC02G00752	K21867
GelC02G00757	K03544
GelC02G00764	K18172
GelC02G00765	K15400
GelC02G00766	K18801
GelC02G00767	K18162
GelC02G00772	K00640
GelC02G00775	K10999
GelC02G00778	K12621
GelC02G00785	K01369
GelC02G00786	K01369
GelC02G00793	K03155
GelC02G00794	K00873
GelC02G00799	K05666
GelC02G00802	K05925
GelC02G00803	K20854
GelC02G00807	K09060
GelC02G00808	K09060
GelC02G00809	K11600
GelC02G00810	K06689
GelC02G00812	K16240
GelC02G00822	K05391
GelC02G00823	K01897
GelC02G00824	K12812
GelC02G00825	K01703
GelC02G00831	K08472
GelC02G00836	K16223
GelC02G00840	K17757
GelC02G00841	K08150
GelC02G00842	K02996
GelC02G00844	K06172
GelC02G00848	K08711
GelC02G00851	K14304
GelC02G00856	K13175
GelC02G00859	K02895
GelC02G00860	K18740
GelC02G00861	K09510
GelC02G00862	K14510
GelC02G00865	K11584
GelC02G00866	K21867
GelC02G00871	K11136
GelC02G00873	K08287
GelC02G00874	K22522
GelC02G00875	K18164
GelC02G00883	K00294
GelC02G00884	K07897
GelC02G00886	K06961
GelC02G00887	K14497
GelC02G00890	K20295
GelC02G00892	K11420
GelC02G00895	K02148
GelC02G00903	K01489
GelC02G00904	K12309
GelC02G00905	K05863
GelC02G00918	K04077
GelC02G00921	K17732
GelC02G00923	K02147
GelC02G00926	K01507
GelC02G00928	K17086
GelC02G00932	K08955
GelC02G00936	K15403
GelC02G00938	K24939
GelC02G00940	K01955
GelC02G00941	K02325
GelC02G00942	K02218
GelC02G00943	K14442
GelC02G00945	K07151
GelC02G00947	K07151
GelC02G00949	K19983
GelC02G00952	K17263
GelC02G00953	K21444
GelC02G00956	K14948
GelC02G00957	K12589
GelC02G00958	K13680
GelC02G00964	K07466
GelC02G00965	K17279
GelC02G00967	K04713
GelC02G00969	K12169
GelC02G00972	K00705
GelC02G00973	K23280
GelC02G00974	K15196
GelC02G00976	K02357
GelC02G00978	K02183
GelC02G00979	K14413
GelC02G00981	K01166
GelC02G00987	K11290
GelC02G00988	K24169
GelC02G00994	K01087
GelC02G00997	K07053
GelC02G00998	K03231
GelC02G01002	K15188
GelC02G01008	K17470
GelC02G01009	K11254
GelC02G01010	K11254
GelC02G01011	K12741
GelC02G01013	K15032
GelC02G01014	K15032
GelC02G01015	K15032
GelC02G01018	K01785
GelC02G01020	K13418
GelC02G01023	K15042
GelC02G01024	K13172
GelC02G01031	K11864
GelC02G01032	K09422
GelC02G01037	K20870
GelC02G01039	K05681
GelC02G01043	K23870
GelC02G01044	K05681
GelC02G01050	K02267
GelC02G01052	K00777
GelC02G01053	K01214
GelC02G01060	K10664
GelC02G01061	K10737
GelC02G01063	K10737
GelC02G01089	K18810
GelC02G01095	K14207
GelC02G01103	K11855
GelC02G01109	K06972
GelC02G01113	K17867
GelC02G01121	K13448
GelC02G01122	K15112
GelC02G01131	K14432
GelC02G01132	K05278
GelC02G01138	K05349
GelC02G01140	K00602
GelC02G01152	K24824
GelC02G01155	K02876
GelC02G01156	K10839
GelC02G01173	K07024
GelC02G01178	K24193
GelC02G01180	K05349
GelC02G01182	K17584
GelC02G01191	K02350
GelC02G01197	K03190
GelC02G01198	K12489
GelC02G01199	K20604
GelC02G01206	K19788
GelC02G01207	K20299
GelC02G01218	K02977
GelC02G01220	K14026
GelC02G01226	K00412
GelC02G01227	K09338
GelC02G01230	K08827
GelC02G01248	K18624
GelC02G01258	K20823
GelC02G01262	K01633
GelC02G01269	K20352
GelC02G01272	K18624
GelC02G01277	K03005
GelC02G01279	K01051
GelC02G01280	K04482
GelC02G01284	K03239
GelC02G01290	K17604
GelC02G01293	K14288
GelC02G01294	K13754
GelC02G01296	K03363
GelC02G01297	K02730
GelC02G01299	K07195
GelC02G01301	K13464
GelC02G01303	K15397
GelC02G01304	K17680
GelC02G01305	K00052
GelC02G01306	K07375
GelC02G01307	K11346
GelC02G01308	K00695
GelC02G01309	K22913
GelC02G01311	K21444
GelC02G01312	K09422
GelC02G01315	K19882
GelC02G01316	K14432
GelC02G01317	K16280
GelC02G01319	K14432
GelC02G01320	K14432
GelC02G01321	K07253
GelC02G01324	K09458
GelC02G01327	K09286
GelC02G01328	K09647
GelC02G01331	K03165
GelC02G01334	K00951
GelC02G01341	K05391
GelC02G01344	K17761
GelC02G01347	K03671
GelC02G01356	K00901
GelC02G01357	K13150
GelC02G01358	K13150
GelC02G01359	K14050
GelC02G01360	K15139
GelC02G01361	K08064
GelC02G01364	K10405
GelC02G01365	K20280
GelC02G01370	K19891
GelC02G01377	K06700
GelC02G01380	K00765
GelC02G01382	K15501
GelC02G01383	K01952
GelC02G01385	K11420
GelC02G01387	K08202
GelC02G01388	K24543
GelC02G01390	K15047
GelC02G01395	K19025
GelC02G01396	K09338
GelC02G01404	K01358
GelC02G01405	K02977
GelC02G01410	K11426
GelC02G01414	K14294
GelC02G01415	K01047
GelC02G01419	K14494
GelC02G01423	K00422
GelC02G01425	K00703
GelC02G01427	K13415
GelC02G01432	K00889
GelC02G01433	K20221
GelC02G01443	K01719
GelC02G01447	K15891
GelC02G01448	K20890
GelC02G01459	K00162
GelC02G01461	K06100
GelC02G01462	K22755
GelC02G01464	K22755
GelC02G01466	K08678
GelC02G01467	K13993
GelC02G01471	K13941
GelC02G01474	K13993
GelC02G01479	K12373
GelC02G01481	K14763
GelC02G01484	K08494
GelC02G01485	K16732
GelC02G01486	K22684
GelC02G01487	K03115
GelC02G01490	K10848
GelC02G01493	K15153
GelC02G01494	K14977
GelC02G01496	K17292
GelC02G01498	K23093
GelC02G01499	K05282
GelC02G01508	K19985
GelC02G01509	K21994
GelC02G01511	K03327
GelC02G01515	K14488
GelC02G01517	K14488
GelC02G01518	K14488
GelC02G01523	K01115
GelC02G01524	K12161
GelC02G01526	K00799
GelC02G01532	K05544
GelC02G01537	K00615
GelC02G01541	K08679
GelC02G01547	K13422
GelC02G01556	K14496
GelC02G01557	K02154
GelC02G01563	K08711
GelC02G01567	K01583
GelC02G01571	K11253
GelC02G01584	K18696
GelC02G01589	K01689
GelC02G01596	K00475
GelC02G01599	K14560
GelC02G01600	K14488
GelC02G01607	K00475
GelC02G01610	K11341
GelC02G01612	K17434
GelC02G01619	K09338
GelC02G01628	K09286
GelC02G01632	K10640
GelC02G01636	K13783
GelC02G01639	K02214
GelC02G01641	K23538
GelC02G01642	K00940
GelC02G01646	K09874
GelC02G01648	K10727
GelC02G01650	K00001
GelC02G01656	K00103
GelC02G01657	K00103
GelC02G01661	K11088
GelC02G01663	K08832
GelC02G01664	K14209
GelC02G01666	K14209
GelC02G01682	K16250
GelC02G01683	K01951
GelC02G01684	K05359
GelC02G01685	K03327
GelC02G01686	K21444
GelC02G01687	K15042
GelC02G01691	K02731
GelC02G01692	K09422
GelC02G01694	K15902
GelC02G01696	K10590
GelC02G01701	K13153
GelC02G01702	K04392
GelC02G01704	K03094
GelC02G01706	K00748
GelC02G01712	K03364
GelC02G01713	K00847
GelC02G01717	K10436
GelC02G01722	K18998
GelC02G01723	K20102
GelC02G01724	K20241
GelC02G01725	K09537
GelC02G01731	K02520
GelC02G01732	K03033
GelC02G01733	K18757
GelC02G01734	K14432
GelC02G01736	K05309
GelC02G01739	K16281
GelC02G01743	K00764
GelC02G01749	K06013
GelC02G01750	K22761
GelC02G01751	K20772
GelC02G01768	K14270
GelC02G01788	K00430
GelC02G01799	K01476
GelC02G01800	K00162
GelC02G01801	K00162
GelC02G01809	K09338
GelC02G01810	K10755
GelC02G01817	K08867
GelC02G01819	K17794
GelC02G01822	K10849
GelC02G01829	K01057
GelC02G01831	K09264
GelC02G01834	K11498
GelC02G01836	K09755
GelC02G01839	K11498
GelC02G01840	K14488
GelC02G01841	K11254
GelC02G01842	K00817
GelC02G01845	K25789
GelC02G01848	K09553
GelC02G01849	K01265
GelC02G01850	K01051
GelC02G01851	K25796
GelC02G01855	K03843
GelC02G01856	K00759
GelC02G01869	K22804
GelC02G01874	K08497
GelC02G01881	K01613
GelC02G01883	K17912
GelC02G01884	K00930
GelC02G01885	K20092
GelC02G01888	K24193
GelC02G01889	K24193
GelC02G01890	K10590
GelC02G01892	K10775
GelC02G01894	K16280
GelC02G01896	K00873
GelC02G01897	K10775
GelC02G01898	K10775
GelC02G01899	K16280
GelC02G01901	K00873
GelC02G01903	K03363
GelC02G01906	K05928
GelC02G01907	K02873
GelC02G01912	K14432
GelC02G01913	K10843
GelC02G01918	K11648
GelC02G01920	K03537
GelC03G00000	K11344
GelC03G00004	K03521
GelC03G00005	K09422
GelC03G00006	K05765
GelC03G00007	K15692
GelC03G00009	K01426
GelC03G00010	K03025
GelC03G00011	K03025
GelC03G00016	K15292
GelC03G00017	K00767
GelC03G00023	K23960
GelC03G00026	K01919
GelC03G00029	K11420
GelC03G00030	K24752
GelC03G00031	K16578
GelC03G00032	K22588
GelC03G00033	K24997
GelC03G00034	K09597
GelC03G00037	K23288
GelC03G00039	K20242
GelC03G00042	K18065
GelC03G00043	K01068
GelC03G00045	K14780
GelC03G00048	K17686
GelC03G00049	K17686
GelC03G00057	K11982
GelC03G00058	K10867
GelC03G00060	K15402
GelC03G00065	K00128
GelC03G00069	K07574
GelC03G00074	K21444
GelC03G00076	K17602
GelC03G00091	K03147
GelC03G00097	K09553
GelC03G00101	K14488
GelC03G00102	K25796
GelC03G00103	K01087
GelC03G00110	K22904
GelC03G00118	K20456
GelC03G00123	K13783
GelC03G00127	K01968
GelC03G00128	K09338
GelC03G00129	K15032
GelC03G00130	K14569
GelC03G00133	K13337
GelC03G00135	K24155
GelC03G00136	K12604
GelC03G00148	K14827
GelC03G00153	K08740
GelC03G00159	K10696
GelC03G00161	K07513
GelC03G00162	K00652
GelC03G00163	K24193
GelC03G00164	K24193
GelC03G00165	K24193
GelC03G00167	K24193
GelC03G00168	K10775
GelC03G00169	K00025
GelC03G00171	K15498
GelC03G00173	K00873
GelC03G00175	K24193
GelC03G00178	K02873
GelC03G00187	K04708
GelC03G00191	K19466
GelC03G00192	K02219
GelC03G00193	K02365
GelC03G00200	K16253
GelC03G00201	K01900
GelC03G00202	K05350
GelC03G00204	K05350
GelC03G00215	K21843
GelC03G00217	K12837
GelC03G00218	K15404
GelC03G00223	K07195
GelC03G00231	K13140
GelC03G00233	K19985
GelC03G00234	K02889
GelC03G00235	K02434
GelC03G00236	K22382
GelC03G00237	K12896
GelC03G00239	K13412
GelC03G00241	K08472
GelC03G00245	K24139
GelC03G00247	K12585
GelC03G00248	K14803
GelC03G00249	K02291
GelC03G00253	K25870
GelC03G00254	K08901
GelC03G00257	K07565
GelC03G00260	K02881
